 carTrackSensors7, carTrackSensors9, carTrackSensors11, carAngleToTrack, carTrackOffset, carSpeed, carSteer
0.183361,0.575295,0.0474439,0.0389178,-0.531155,0.568587,0.5
0.0134086,0.223592,0.139903,-0.0020118,0.883943,0.217008,0.498793
0.195933,0.402955,0.0192671,-0.0107381,-0.828352,0.660127,0.5
0.0180496,0.219616,0.136894,0.00666527,0.850076,0.287638,0.637333
0.0670815,0.321838,0.135029,0.123856,0.554332,0.388533,0.5
0.108962,0.330852,0.110912,0.0644776,0.00595296,0.522313,0.5
0.0830465,0.274565,0.136316,-0.215193,-0.0748807,0.431516,0.504218
0.192043,0.466981,0.0409194,0.0415677,-0.593522,0.586056,0.524941
0.0689185,0.347663,0.146348,0.120615,0.514776,0.393593,0.5
0.082648,0.304039,0.144347,0.0794814,0.295988,0.452484,0.414355
0.0167303,0.396637,0.191981,0.0280975,0.856699,0.742619,0.5
0.0738095,0.328158,0.14655,0.123389,0.44405,0.420012,0.5
0.053736,0.52372,0.17909,-0.0494242,0.458011,0.629421,0.5
0.0300828,0.27217,0.148025,-0.0435959,0.722444,0.371163,0.607176
0.126877,0.591665,0.0982025,0.0855056,0.0587743,0.508984,0.5
0.15104,0.362191,0.0471922,0.0215654,-0.57653,0.473075,0.512939
0.107683,0.322139,0.116573,-0.163428,-0.319454,0.494647,0.535277
0.061998,0.377564,0.145669,0.108882,0.582216,0.386135,0.5
0.200429,0.46586,0.0298429,0.0296778,-0.710461,0.606806,0.5
0.0189857,0.57185,0.194036,0.0166307,0.83307,0.609829,0.5
0.069969,0.54941,0.162111,-0.0629462,0.275982,0.593183,0.5
0.142348,0.36385,0.0642215,0.0457955,-0.405894,0.598877,0.5
0.0140155,0.22358,0.139755,-0.00307913,0.878711,0.246307,0.498153
0.0155366,0.208384,0.135136,-0.0125988,0.865209,0.221246,0.625774
0.0272117,0.5416,0.150389,0.103293,0.831486,0.343756,0.561976
0.208205,0.470691,0.0173098,0.0150848,-0.836998,0.611992,0.5
0.0130842,0.208722,0.135843,-0.0094898,0.885865,0.194076,0.494306
0.0345185,0.299361,0.173955,0.0472646,0.717492,0.781611,0.5
0.0193509,0.228377,0.140816,-0.0331774,0.824776,0.361724,0.613427
0.0812275,0.193925,0.117674,-0.0311711,0.506353,0.433813,0.614631
0.0182304,0.215154,0.13806,-0.0515343,0.829842,0.328719,0.602413
0.0136287,0.224301,0.140205,-0.00542629,0.881223,0.299662,0.496744
0.0210929,0.50517,0.205758,-0.0189239,0.799787,0.570567,0.5
0.0205592,0.232778,0.142646,-0.053611,0.806393,0.375176,0.467833
0.108615,0.228083,0.117469,0.13688,-0.0368968,0.476024,0.448794
0.0205251,0.408698,0.194143,0.012351,0.817798,0.664163,0.5
0.0229892,0.236764,0.143917,-0.0743298,0.776099,0.326787,0.455402
0.093219,0.336458,0.122067,-0.0859527,0.180539,0.494726,0.581762
0.0326168,0.39072,0.188151,-0.00443364,0.699673,0.733063,0.49734
0.0533805,0.296525,0.147416,-0.147859,0.427224,0.461484,0.544618
0.153132,0.5747,0.0774315,0.0671165,-0.192529,0.552798,0.5
0.147349,0.362867,0.0481574,0.0012453,-0.587962,0.474369,0.367414
0.052359,0.352457,0.166383,0.00220752,0.524732,0.39655,0.501325
0.136837,0.361457,0.0729265,0.0540708,-0.320911,0.616806,0.5
0.0153877,0.225418,0.140342,-0.0134045,0.864458,0.229708,0.491957
0.0961035,0.573155,0.130035,-0.0865416,-0.0380534,0.54075,0.5
0.0155299,0.223833,0.139525,-0.00694532,0.865292,0.232519,0.495833
0.160428,0.326106,0.0405774,-0.071961,-0.687941,0.654333,0.590157
0.0130761,0.222598,0.139485,0.00283368,0.887922,0.243604,0.5017
0.061063,0.379551,0.154875,0.0166244,0.4631,0.43944,0.509975
0.0158022,0.222234,0.138676,-0.000606905,0.865094,0.247647,0.632969
0.134509,0.358795,0.0761125,0.0546553,-0.293237,0.613052,0.5
0.0272105,0.238547,0.143548,-0.000543156,0.751934,0.498698,0.633007
0.0202991,0.271159,0.148111,-0.00643905,0.822746,0.300921,0.496137
0.029953,0.337048,0.181002,-0.00123771,0.726083,0.632802,0.499257
0.0291437,0.272752,0.148568,-0.0437111,0.730361,0.382834,0.473773
0.139122,0.361735,0.069181,0.0494148,-0.359125,0.631325,0.5
0.114364,0.266509,0.103491,0.0616074,-0.272716,0.506845,0.5
0.0939915,0.321683,0.129481,0.0813854,0.190196,0.483734,0.5
0.143001,0.352905,0.0593905,0.0238061,-0.473179,0.519655,0.38095
0.0524985,0.51051,0.180663,-0.0495475,0.470367,0.60781,0.5
0.0142756,0.217911,0.1369,0.0209528,0.883473,0.220798,0.645905
0.0745355,0.32159,0.144779,-0.000190941,0.319917,0.426044,0.499885
0.115471,0.337979,0.102163,0.0617836,-0.0683472,0.542782,0.5
0.0307148,0.395719,0.192708,-0.0121065,0.712559,0.725504,0.492736
0.127031,0.267683,0.096455,-0.176914,-0.29202,0.642976,0.5
0.0258952,0.262998,0.145759,-0.0104144,0.775501,0.351833,0.627085
0.0140867,0.224077,0.139747,-0.00328616,0.878075,0.219701,0.498028
0.15593,0.577505,0.0748805,0.0642444,-0.223282,0.557841,0.5
0.147238,0.355281,0.0519065,0.0176233,-0.541272,0.492972,0.510574
0.150164,0.367519,0.0462889,0.011968,-0.592977,0.466639,0.507181
0.0142832,0.217976,0.13693,0.0206572,0.88333,0.220427,0.645728
0.0314194,0.53239,0.143404,0.121879,0.82443,0.280513,0.573127
0.094152,0.336591,0.121332,-0.0887285,0.170373,0.512317,0.580096
0.177687,0.51315,0.0556295,0.0525332,-0.435563,0.564409,0.5
0.157015,0.550425,0.0746085,0.0675792,-0.221305,0.565556,0.5
0.112051,0.24705,0.114427,0.0569057,-0.249122,0.510686,0.40081
0.0143064,0.219466,0.137655,0.0140996,0.88127,0.215737,0.641793
0.0138463,0.221432,0.138729,0.00642546,0.882717,0.241917,0.503855
0.0156787,0.222044,0.138611,0.000439783,0.866405,0.22784,0.633597
0.0728,0.397496,0.134129,0.0114629,0.460958,0.477607,0.506878
0.086926,0.195683,0.117195,-0.0501295,0.458917,0.44829,0.603256
0.114706,0.233082,0.101604,0.114952,-0.163724,0.494286,0.435638
0.20483,0.4227,0.0148372,0.000931747,-0.864405,0.620774,0.5
0.114622,0.23302,0.101835,0.113818,-0.165024,0.494115,0.434958
0.129878,0.362418,0.0773405,-0.0419022,-0.428638,0.490302,0.474859
0.135049,0.348957,0.0728985,0.0360053,-0.347443,0.628484,0.38827
0.19323,0.454259,0.0399955,0.0417848,-0.602532,0.585766,0.525071
0.0315879,0.214021,0.13425,-0.0721085,0.710478,0.3424,0.590068
0.153398,0.387312,0.0445775,0.0249414,-0.595593,0.475357,0.514965
0.0257485,0.491113,0.202748,-0.0240116,0.753034,0.599615,0.5
