23 1743 -239.92623062673553 177954.11490365863 |[[-0.5262487   0.75646582  0.17284166]]|
24 1773 -330.93983272109438 180159.51630422473 |[[-0.46384292  0.64743906  0.18426176]]|
25 1793 -246.89044788326439 181023.289172858 |[[-0.39631911  0.59849999  0.21195141]]|
26 1870 -338.43566851241513 183318.55739638209 |[[-0.576202    0.62348633  0.20042285]]|
27 1892 -271.35091075079328 184189.91162702441 |[[-0.29549331  0.69260673  0.16972379]]|
28 1913 -296.70595777295586 185478.70621988177 |[[-0.59334982  0.73040585 -0.08078084]]|
29 1933 -334.87213562480821 186436.09492608905 |[[-0.42303144  0.74561794 -0.10576102]]|
30 2010 -225.02539263219606 191125.72353956103 |[[-0.43277488  0.59224741  0.18183578]]|
31 2031 -280.84923572776648 191863.29542085528 |[[-0.29680198  0.66613122  0.22352625]]|
32 2052 -264.0686520222626 192691.89183828235 |[[-0.33621108  0.79886551  0.13982968]]|
33 2073 -357.60395894796648 193419.44620963931 |[[-0.28231066  0.73990041 -0.13324383]]|
34 2093 -219.91730695670492 194673.59194156528 |[[-0.33932411  0.73657152  0.25863105]]|
35 2114 -229.30452497898258 195885.64173004031 |[[-0.37895014  0.50514958  0.26944776]]|
36 2191 -302.71117739251099 199858.64834186435 |[[-0.44308495  0.69114543  0.23822852]]|
37 2212 -357.00687525892045 200574.17067119479 |[[-0.44843762  0.76097011 -0.10273334]]|
38 2274 -297.85614947136725 203621.86377117038 |[[-0.51981252  0.56220861  0.22036427]]|
39 2294 -339.10125732349627 204230.51632997394 |[[-0.31263993  0.6395502  -0.01790656]]|
40 2314 -348.29567594540418 205077.77823755145 |[[-0.43805827  0.64770829 -0.03206503]]|
0 77 -290.81048281973227 3464.4678785800934 |[[-0.30058454  0.76562876  0.03669419]]|
0 77 -118.02505694761624 27059.980657374486 |[[-0.30058454  0.76562876  0.03669355]]|
1 154 -200.18639191301267 36507.11317733489 |[[-0.27531319  0.5017252   0.07116494]]|
2 231 -283.3824565315187 47037.021874940023 |[[-0.39418954  0.63485236  0.02070675]]|
3 308 -279.29280263335852 55834.920125266537 |[[-0.11563141  0.73448077  0.02896663]]|
0 77 -289.18623405536516 25358.472440138459 |[[-0.33547108  0.76562876  0.03669419]]|
1 101 -272.35698030345475 30511.648535624146 |[[-0.65799428  0.50199932 -0.04065749]]|
2 178 -310.59836380943972 49813.900421515107 |[[-0.01376809  0.49358665  0.01232655]]|
3 199 -359.56031043802182 52067.974333658814 |[[-0.78069959  0.64375093  0.04256465]]|
4 277 -262.43894012184143 62554.926111236215 |[[-0.48370575  0.53013726 -0.00701136]]|
5 298 -270.19744962214304 68817.011586681008 |[[-0.29143289  0.66307159  0.12316411]]|
6 375 -283.71777261109361 87849.983077719808 |[[-0.25593023  0.67046014  0.10112117]]|
7 452 -297.17942814467085 97753.780741289258 |[[ 0.53942407  0.4973542  -0.11369489]]|
8 480 -243.71241138111938 100963.00229568779 |[[  1.08834124e+00   6.05530539e-01  -2.60695863e-04]]|
9 557 -117.24438725771299 111117.41297478974 |[[ 0.61684837  0.5439113  -0.08209886]]|
10 584 -122.95920539827475 114214.94726128876 |[[ 0.82845933  0.654207   -0.07819543]]|
11 661 -86.557089617142637 122097.9158975631 |[[ 0.55421541  0.46056921 -0.10383204]]|
12 738 -119.73416316936202 129524.86383040249 |[[ 0.31533185  0.50955968 -0.00801482]]|
13 764 -160.86692682510179 132085.06815226376 |[[ 0.51116646  0.61791908 -0.02030056]]|
14 841 -118.445071682867 138333.06282801926 |[[ 0.57098464  0.52502667 -0.0297721 ]]|
0 77 310.2235324472997 45062.308879066259 |[[-0.39661075  0.76562875  0.03668842]]|
1 100 -227.07786699368765 5210.9753952026367 |[[-0.78811022  0.5131207   0.06949925]]|
2 126 -342.4668892557138 6697.8123550415039 |[[-0.52932138  0.49876382  0.09914144]]|
3 157 -13.369985000610988 13928.546546936035 |[[ 0.36736737  0.6555984  -0.01734086]]|
4 234 -68.218552101263228 21879.546029090881 |[[ 0.33566535  0.4681062   0.04953114]]|
5 259 -94.953126738269361 5685.6041975021362 |[[ 0.38998757  0.67592345 -0.00473017]]|
6 336 -109.75872472252081 11354.278125762939 |[[ 0.83499445  0.5578784  -0.11219266]]|
7 413 -65.205131554195887 8756.0592927932739 |[[ 0.5790182   0.61585314 -0.08868576]]|
8 490 -147.08528328903756 8506.7863771915436 |[[ 0.06605285  0.57234601 -0.18461443]]|
9 567 -83.018865235227565 9322.2816562652588 |[[ 0.28126905  0.61235201 -0.10109442]]|
10 644 -43.543111402828174 6909.9845530986786 |[[ 0.34119651  0.69670045 -0.1419292 ]]|
11 721 -144.22825057691958 7700.0208170413971 |[[ 0.60052945  0.53567314 -0.15955988]]|
12 798 -137.99350791223861 8760.3005627393723 |[[ 0.42983029  0.61299133  0.01047369]]|
13 875 -91.20013849433731 5876.1935603618622 |[[ 0.63064045  0.60875913 -0.06359009]]|
14 902 -189.25923163873065 1750.0462732315063 |[[ 0.59591219  0.60700987 -0.10418414]]|
15 979 -116.76755016929029 7417.8309755325317 |[[ 0.39970993  0.81678216 -0.06889073]]|
16 1004 -118.98593558340576 1335.4412436485291 |[[ 0.5026923   0.80477127 -0.09308852]]|
17 1081 -73.108147981112069 9450.4384931325912 |[[ 0.51257617  0.57905015 -0.09153123]]|
18 1107 -135.6647641416408 1521.643159031868 |[[ 0.95697047  0.59534813 -0.11133272]]|
19 1184 -101.50746635662352 7467.9151846170425 |[[ 0.61973062  0.66901571 -0.15503675]]|
20 1261 -40.667578497778756 6286.8268702030182 |[[ 0.33677245  0.52698    -0.06032177]]|
21 1338 -79.872145288868779 4367.9854646921158 |[[ 0.55347176  0.57536894 -0.0637737 ]]|
22 1415 -130.52630443876433 7067.0055332183838 |[[ 0.26703292  0.56387822 -0.05641721]]|
23 1492 -97.908597116774473 5555.5801467299461 |[[ 0.36281675  0.40999912 -0.02059605]]|
24 1569 -79.25083432568853 8096.8371034562588 |[[ 0.30570603  0.72085875 -0.07406621]]|
25 1646 -91.908574429611306 4696.0830311775208 |[[ 0.4081044   0.60574672 -0.10197301]]|
26 1724 -305.59013085826189 3166.1904617547989 |[[-0.44922983  0.56201655 -0.09050041]]|
27 1801 -348.48254358526316 4672.0116558074951 |[[-0.30542106  0.46778665  0.00067979]]|
28 1825 -266.78347591652567 2037.7225295305252 |[[-0.36565268  0.45727223 -0.10113734]]|
29 1850 -356.08321894824849 1232.0400066375732 |[[-0.72842111  0.55766907 -0.07273179]]|
30 1875 -376.29093136268602 2049.9739618301392 |[[-0.58943316  0.45885257 -0.02347844]]|
31 1952 -292.31355114854216 6678.1555035114288 |[[ 0.48961856  0.62137551 -0.12317269]]|
32 2030 -1062.7180204147869 8728.4387007951736 |[[ 0.59123492  0.43397959 -0.05356253]]|
33 2107 -42.902740114061565 12896.023551940918 |[[ 0.7375149   0.47006784  0.06140249]]|
34 2184 1601.8224252874891 10501.002067565918 |[[ 0.50895462  0.50567387 -0.01962753]]|
35 2261 -93.480486478036141 11716.737428188324 |[[ 0.55034439  0.38058819 -0.0530125 ]]|
36 2338 -73.143475475021404 7413.4701416492462 |[[ 0.52441101  0.48147396 -0.11421261]]|
