33 88213 12600.487763088957 10944.073981009424 |[[-0.56809443  1.          0.00265949]]|
34 88291 36.294278768374276 361.34740179777145 |[[-0.99657887  1.          0.01401338]]|
35 88368 -310.99908140629469 314.00042472779751 |[[  1.00000000e+00   1.00000000e+00   8.43307379e-09]]|
36 88414 -148.03425079277355 867.77822370827198 |[[  9.62173522e-01   1.00000000e+00   1.27448138e-05]]|
37 88480 -116.69820268736689 613.40620972216129 |[[  9.95375335e-01   1.00000000e+00   4.33683490e-05]]|
38 88557 -376.53925081599306 1070.2367792725563 |[[ 0.99194586  1.          0.95497793]]|
39 88631 -699.21726345502293 2116.6183276176453 |[[-0.81144845  1.          0.00105179]]|
40 88653 -8.5830956644827374 366.26433229446411 |[[-0.49763399  1.          0.16274244]]|
41 88717 -115.93218991302541 1036.948981821537 |[[ 0.17617545  1.          0.0013197 ]]|
42 88789 -785.90081463221759 1713.749523639679 |[[  9.17745948e-01   1.00000000e+00   1.38603078e-04]]|
43 88858 -78.092082005086382 1233.4190429747105 |[[  9.94433582e-01   1.00000000e+00   8.32481383e-05]]|
44 88973 -159.06562497634295 1491.9362823367119 |[[-0.99971956  1.          0.05636062]]|
45 89187 53.916988598317388 4788.8506086096168 |[[ 0.97394019  1.          0.02503758]]|
46 89205 108.68574054529195 962.51511788368225 |[[ 0.95311898  1.          0.02735371]]|
47 89339 141.48640467411653 1508.1025114357471 |[[ 0.82318288  1.          0.03011174]]|
48 89552 87.171345979624903 4155.584008961916 |[[-0.99059844  1.          0.16045734]]|
49 89697 143.33413110642383 2260.9513378590345 |[[-0.98873085  1.          0.21278942]]|
50 89797 229.7425284669753 1437.9113476872444 |[[-0.97919744  1.          0.01746609]]|
51 89946 328.95815216317402 3223.1166278719902 |[[ 0.67138529  1.          0.11932743]]|
52 94620 329.30580227220094 90727.391415566206 |[[ 1.  1.  1.]]|
53 95342 -97.03745300648589 23119.237050831318 |[[-0.99289531  1.          0.19149816]]|
54 95468 -47.339095645962679 5207.8406833410263 |[[-0.98951173  1.          0.22500354]]|
55 95604 -3.793976297706632 3253.5703836679459 |[[-0.97738367  1.          0.202472  ]]|
56 95748 -51.036270328530534 3540.7969877719879 |[[-0.99323207  1.          0.20228392]]|
57 95924 -49.411524991499064 5111.5985592603683 |[[-0.99943596  1.          0.50704294]]|
58 96111 -46.54224952383376 4156.4649937748909 |[[-0.99857503  1.          0.26644287]]|
59 96264 -45.101308676854188 5008.5174240469933 |[[-0.99935234  1.          0.29946291]]|
60 96446 -46.986455158893094 6229.9435908794403 |[[-0.99874288  1.          0.39083236]]|
61 96798 -49.347110058968788 9530.1893736869097 |[[-0.9961701   1.          0.25528374]]|
62 97679 -70.411519287082982 27311.396553635597 |[[-0.99491537  1.          0.15700038]]|
63 97913 -33.887032598568048 8578.0305622816086 |[[-0.99973989  1.          0.1813034 ]]|
64 98390 -43.409175061927321 17974.941999793053 |[[-0.99210763  1.          0.16846088]]|
65 98502 -45.682948711064896 3503.309149980545 |[[-0.99800551  1.          0.44503671]]|
66 101403 -206.82006874287393 113857.57425832748 |[[ 1.  1.  1.]]|
67 111375 760.34247719218126 603938.1404260993 |[[ 0.99405563  1.          0.03685661]]|
68 111553 2122.2612720541692 19938.702099204063 |[[ 0.96271157  1.          0.04519747]]|
69 111877 3954.2472691983307 30828.24985909462 |[[ 0.97909158  1.          0.01292353]]|
70 111950 993.77265665458424 6626.4416086673737 |[[-0.99929345  1.          0.00270931]]|
71 112129 1732.7583677953851 40054.170125961304 |[[ 0.99656093  1.          0.0488585 ]]|
72 112216 1225.3526487960564 10902.050038099289 |[[ 0.99986273  1.          0.10479537]]|
73 112236 287.00288033297386 1512.4513187408447 |[[-0.99971926  1.          0.00271969]]|
74 112315 1204.6494873356917 28188.327511787415 |[[ 0.9787187   1.          0.03401711]]|
75 112345 270.94083689044453 4893.7207827568054 |[[-0.99667072  1.          0.00452895]]|
76 112703 4573.2040625752688 63366.935970544815 |[[ 0.99958545  1.          0.00864911]]|
77 113446 10703.402839803461 143312.58075118065 |[[ 0.99341327  1.          0.1084659 ]]|
